W/C,W/B,A/C,Cement,Silica fume,Fly ash,Slag,Metakaolin,Filler,Superplasticizer,SAP,SAP size,SAP water uptake,Time,Shrinkage/Swelling
0.38,0.38,3.9,380,0,0,0,0,0,0,0,0,0,1,-347.6
0.24,0.216,1.99,715,11.19,0,0,0,0,1.8,0,0,0,1,-342.7
0.27,0.27,3.05,550,0,0,0,0,0,6.36,0,0,0,1,-339.7
0.3,0.18,1.52,663,6.3,62,0,0,0,2,0.2,471,15,1,-339.3
0.25,0.25,0,1544,0,0,0,0,0,0,0.92,200,13,1,-332.8
0.43,0.3,0,1105,0,42.8,0,0,0,0.42,0,100,61,1,-330.6
0.35,0.3,0,1370,0,0,17.6,0,0,0.42,0,100,61,1,-315.6
0.6,0.3,0,776,0,100,0,0,0,0.42,0,100,61,1,-310.5
0.3,0.27,3.36,495,0,11.11,0,0,0,7.07,0,0,0,1,-306.6
0.3,0.27,3.36,495,0,11.11,0,0,0,0,0,0,0,1,-305
0.333,0.3,0,1445,0,0,0,11.1,0,0,0,0,0,1,-298.9
0.27,0.27,3.05,550,0,0,0,0,0,6.36,0,0,0,1,-296.9
0.316,0.3,0,1526,0,0,0,5.26,0,0,0,0,0,1,-291.9
0.3,0.3,3.04,485,0,0,0,0,0,0,0,0,0,1,-274
0.3,0.3,3.04,485,0,0,0,0,0,0,0,0,0,1,-271.7
0.3,0.3,3.04,485,0,0,0,0,0,0,0,0,0,1,-271
0.375,0.3,0,1285,0,0,0,25,0,0,0,0,0,1,-266.6
0.3,0.3,3.04,485,0,0,0,0,0,0,0,0,0,1,-266
0.3,0.18,1.52,663,6.3,62,0,0,0,2,0.2,95,15,1,-263.5
0.3,0.27,1.74,700,10,0,0,0,0,1.8,0,324,20,1,-258.5
0.2,0.2,2.14,700,0,0,0,0,0,2,0,0,0,1,-252.9
0.43,0.3,0,1124,0,0,42.8,0,0,0.42,0,100,61,1,-252.2
0.353,0.3,0,1365,0,0,0,17.6,0,0,0,0,0,1,-245.5
0.5,0.3,5.61,300,0,67.3,0,0,0,0.9,0,0,0,1,-239.3
0.34,0.272,3.73,440,0,25,0,0,0,7.95,0,0,0,1,-237.6
0.34,0.272,3.73,440,0,25,0,0,0,0,0,0,0,1,-236.5
0.34,0.34,4,450,0,0,0,0,0,0,0,0,0,1,-232.9
0.34,0.272,3.73,440,0,25,0,0,0,7.95,0,0,0,1,-230.7
0.4,0.22,2,556,45.5,36.3,0,0,0,2.5,0,120,6,1,-228.2
0.5,0.5,0,1215,0,0,0,0,0,0,0,0,0,1,-220.7
0.33,0.18,2,578,45.5,36.3,0,0,0,2.5,0.6,120,6,1,-218.5
0.3,0.18,1.52,663,6.3,62,0,0,0,2,0.13,62.8,35,1,-218.4
0.3,0.3,3.04,485,0,0,0,0,0,0,0,0,0,1,-217.6
0.3,0.18,1.52,663,6.3,62,0,0,0,2,0.4,471,15,1,-213.5
0.3,0.3,0,533,0,0,0,0,0,0,0,0,0,1,-211.2
0.28,0.25,0,1567,11.1,0,0,0,0,0,0.7,200,13,1,-208.5
0.353,0.3,0,1387,0,0,11.76,0,5.88,0.25,0,0,0,1,-206.7
0.429,0.3,0,1142,0,0,28.5,0,14.3,0.25,0,0,0,1,-196.7
0.307,0.2,3.29,455,0,53.8,0,0,0,1.7,0,0,0,1,-196.4
0.28,0.252,3.4,505,11.09,0,0,0,0,5,0,0,0,1,-194.4
0.32,0.32,3.2,541,0,0,0,0,0,0.8,0,175,13,1,-191.8
0.277,0.25,3.4,505,11.1,0,0,0,0,5,0,0,0,1,-189.7
0.24,0.2,0,1030,19.7,0,0,0,23.8,1.44,0.38,40,21,1,-188.9
0.6,0.3,0,798,0,0,100,0,0,0.42,0,100,61,1,-186.5
0.64,0.38,6.46,270,0,0,100,0,0,0.8,0.47,175,13,1,-179.7
0.31,0.31,3.4,500,0,0,0,0,0,7,0,0,0,1,-173.1
0.25,0.25,2.82,582,0,0,0,0,0,1.4,0,200,13,1,-171
0.4,0.2,4.28,350,0,0,100,0,0,1.5,0,0,0,1,-169.4
0.526,0.5,0,1154,0,0,0,5.26,0,0,0,0,0,1,-165.6
0.38,0.304,3.95,377,25,0,0,0,0,0,0,0,0,1,-164.1
0.28,0.252,2.82,576,11.11,0,0,0,0,2,0,0,0,1,-162.9
0.6,0.3,0,776,0,100,0,0,0,0.42,0.22,100,61,1,-161
0.38,0.304,3.95,377,25,0,0,0,0,0,0,0,0,1,-160
0.38,0.304,3.95,377,25,0,0,0,0,0,0,0,0,1,-158.5
0.3,0.3,2.5,600,0,0,0,0,0,1,0,0,0,1,-156.4
0.49,0.38,4.95,351,0,0,53.8,0,0,0.8,0.47,175,13,1,-155.6
0.63,0.504,6.42,288,0,25,0,0,0,0,0,0,0,1,-149.1
0.34,0.306,3.74,450,0,11.11,0,0,0,0,0,0,0,1,-148.6
0.34,0.306,3.74,450,0,11.11,0,0,0,7.78,0,0,0,1,-146.4
0.3,0.3,0,533,0,0,0,0,0,0,0,0,0,1,-146.1
0.25,0.25,2.98,576,0,0,0,0,0,5,0,0,0,1,-145.7
0.3,0.3,2.73,583,0,0,0,0,0,1,0,0,0,1,-143.8
0.354,0.354,3.98,438,0,0,0,0,0,1,0,0,0,1,-142.8
0.3,0.18,1.52,663,6.3,62,0,0,0,2,0.4,95,15,1,-138.3
0.25,0.25,2.98,576,0,0,0,0,0,5,0,0,0,1,-137.1
0.38,0.266,4.22,385,0,42.85714286,0,0,0,9.09,0,0,0,1,-129.7
0.38,0.266,4.22,385,0,42.86,0,0,0,0,0,0,0,1,-127.9
0.555,0.5,0,1093,0,0,0,11.1,0,0,0,0,0,1,-127.7
0.35,0.35,3.85,450,0,0,0,0,0,7.78,0,0,0,1,-127.3
0.39,0.312,4.17,400,0,25,0,0,0,8.75,0,0,0,1,-125.8
0.3,0.3,2.72,583,0,0,0,0,0,1,0,0,0,1,-125
0.44,0.352,4.73,360,0,25,0,0,0,9.72,0,0,0,1,-120.4
0.3,0.3,3.1,533,0,0,0,0,0,0.3,0,0,0,1,-120
0.3,0.3,2.82,582,0,0,0,0,0,1.2,0,200,13,1,-119
0.27,0.27,3.05,550,0,0,0,0,0,0,0,0,0,1,-117
0.3,0.27,1.74,700,10,0,0,0,0,1.8,0.3,324,20,1,-116
0.3,0.3,3.1,533,0,0,0,0,0,0.3,0,0,0,1,-114.8
0.492,0.385,5.53,315,7.6,20.3,0,0,0,1,0,0,0,1,-112.7
0.6,0.3,5,300,0,0,100,0,0,0.75,0,0,0,1,-112.6
0.4,0.38,4,432.8,0,0,25,0,0,0.8,0.47,175,13,1,-112.6
0.33,0.33,3.45,512,0,0,0,0,0,0.65,0,225,13,1,-111.9
0.25,0.192,1.96,696,0,0,0,0,0,3,0,0,0,1,-111.1
0.443,0.374,4.97,350,0,18.28,0,0,0,1,0,0,0,1,-110.6
0.39,0.312,4.17,400,0,25,0,0,0,8.75,0,0,0,1,-106.1
0.625,0.47,4,387,0,0,0,0,33.3,0,0,0,0,1,-106.1
0.588,0.5,0,1032,0,0,0,17.6,0,0,0,0,0,1,-105.1
0.44,0.352,4.73,360,0,25,0,0,0,0,0,0,0,1,-104.2
0.44,0.44,1.35,600,0,0,0,0,0,1.4,0,100,20,1,-103.3
0.39,0.351,4.14,424,11.08,0,0,0,0,2,0,0,0,1,-103
0.44,0.308,4.72,350,0,42.86,0,0,0,10,0,0,0,1,-102.1
0.39,0.312,4.17,400,0,25,0,0,0,0,0,0,0,1,-101.2
0.462,0.3,3.85,390,0,53.8,0,0,0,0.9,0,0,0,1,-100.3
0.44,0.308,4.72,350,0,42.86,0,0,0,0,0,0,0,1,-98.8
0.27,0.25,3.79,456,7.89,0,0,0,0,7.68,0,0,0,1,-98.2
0.4,0.4,3.54,423,0,0,0,0,0,0,0,0,0,1,-97
0.26,0.234,4.02,446,11.21,0,0,0,0,0,0,0,0,1,-96.1
0.55,0.47,3.52,440,0,0,0,0,17.64,0,0,0,0,1,-95
0.31,0.31,3.4,500,0,0,0,0,0,0,0,0,0,1,-94.7
0.35,0.35,3.85,450,0,0,0,0,0,0,0,0,0,1,-93.8
0.26,0.247,3.83,471,5.31,0,0,0,0,0,0,0,0,1,-93.6
0.27,0.27,1.53,850,0,0,0,0,0,0,0,0,0,1,-93.5
